Material_ID,Bulk_Modulus_K,Shear_Modulus_G,Young_Modulus_E,Poisson_Ratio,Material Class
mp-161,196.8449773,-6403352.095,1771.768193,-1.000138347,Unknown
mp-27757,138.1964947,149.6859857,329.9358501,0.10209332,Metals
mp-1032,248.9404481,179.9600504,435.0475987,0.208733821,Ceramics
mp-1113,329.5525604,158.2113346,409.1579309,0.293074014,Ceramics
mp-15809,292.0417405,189.460867,467.3243557,0.233300478,Ceramics
mp-1915,221.3789909,141.0188565,348.9604113,0.2372828,Metals
mp-20318,316.9493064,173.6497873,440.5021139,0.268363528,Ceramics
mp-2501,293.334007,147.8957996,379.8488525,0.284177284,Metals
mp-2536,241.8792896,100.2002052,264.1282799,0.31800269,Metals
mp-1080664,305.0348939,232.5156565,556.2192271,0.196089836,Ceramics
mp-1890,311.1496999,206.1611503,506.5967251,0.228642555,Ceramics
mp-7832,341.8005224,200.2380579,502.5728955,0.254938498,Ceramics
mp-1432,144.8620398,98.60417466,241.1071963,0.222601361,Metals
mp-7424,173.5330701,51.23240394,139.9269385,0.365609728,Metals
mp-20373,241.2165423,99.99482308,263.5647569,0.317892011,Metals
mp-2058,219.9084597,85.87983758,227.9642382,0.32722793,Metals
mp-20787,283.9092745,151.1053522,385.0110942,0.273982319,Metals
mp-20857,310.1552624,152.6201397,393.3422498,0.288631535,Ceramics
mp-7857,207.8728853,192.3991911,441.1069882,0.146332752,Ceramics
mp-1007881,254.9691838,163.4193197,403.9547133,0.235945401,Ceramics
mp-1008487,339.6350976,193.1953581,487.2065024,0.260916689,Ceramics
mp-1097,286.2359797,214.8239607,515.5069187,0.199835709,Ceramics
mp-14019,264.2973874,107.9342563,285.0057151,0.320274604,Metals
mp-15671,365.3640306,137.5205916,366.5702411,0.332783101,Ceramics
mp-2580,264.0212623,199.5078061,478.0983326,0.198194552,Ceramics
mp-260,295.7077108,224.1903523,536.8902214,0.197398139,Ceramics
mp-9973,269.3190965,234.7271532,545.6574589,0.162322832,Ceramics
mp-999198,308.7006835,194.4442901,482.1092603,0.23971051,Ceramics
mp-1018783,78.59231172,62.66055842,148.5126508,0.185056872,Metals
mp-864790,51.19929601,30.58439281,76.51710231,0.250917466,Metals
mp-1196306,143.4526802,43.51715068,118.5625838,0.362251227,Metals
mp-1197003,154.3896759,42.20941794,116.0522094,0.374719376,Metals
mp-4023,62.19611139,8.996319038,25.74754443,0.43100441,Metals
mp-4214,129.0035638,73.57882422,185.4739893,0.260376143,Metals
mp-5861,59.39342965,6.199620408,17.97349005,0.449563753,Metals
mp-10343,138.4894006,88.4263443,218.726326,0.23677128,Metals
mp-5971,-7695237.264,-4616856.027,-11542259.37,0.25001292,Unknown
mp-10398,154.6179136,5.70E+12,1391.561222,-1,Unknown
mp-4634,-2.22E+12,-2.06E+15,-1.99E+13,-0.995167417,Unknown
mp-7559,195037748.5,6.15E+13,1755323045,-0.999985737,Unknown
mp-8048,-1.01E+12,62401399260,1.91E+11,0.531629457,Unknown
mp-4262,140.2263491,136.4420351,309.0798777,0.132641702,Metals
mp-10113,242.8137425,127.3298922,325.1535634,0.276815513,Metals
mp-10133,79.04231094,66.31623285,155.4692938,0.172181283,Metals
mp-10139,83.17909472,69.43224255,162.9553778,0.17348491,Metals
mp-10140,76.57408605,54.90335365,132.9380266,0.210654885,Metals
mp-1017578,223.4253665,104.2968469,270.7595872,0.298023839,Metals
mp-1018643,142.8665206,29.29491938,82.26211578,0.404033831,Metals
mp-1018644,173.829619,20.12597693,58.13433486,0.444261192,Metals
mp-29725,181.0214786,88.59775926,228.5127677,0.289608053,Metals
mp-3088,165.3012399,65.92805389,174.5752129,0.323982755,Metals
mp-3183,183.3876087,89.12215406,230.09314,0.290886326,Metals
mp-3591,174.7276333,77.25835829,202.0023223,0.307316948,Metals
mp-3710,184.1673105,90.51070957,233.3111606,0.288859416,Metals
mp-3717,188.7440697,93.95991179,241.7620269,0.286516889,Metals
mp-4982,175.916079,81.11587241,210.9276503,0.30016262,Metals
mp-510376,190.776865,60.21432873,163.4469014,0.357209362,Metals
mp-5200,169.8665496,75.45997379,197.1818324,0.306532606,Metals
mp-5438,186.3697654,92.82670729,238.8283882,0.286420661,Metals
mp-569875,195.3218364,100.994877,258.4407298,0.279474452,Metals
mp-571126,225.5827811,111.281906,286.7016042,0.288177092,Metals
mp-28896,198.4405084,70.98685453,190.2722694,0.340193693,Metals
mp-28897,236.2388686,80.27628277,216.3256557,0.347382117,Metals
mp-21347,299.8702523,181.6345736,453.3672746,0.248020313,Ceramics
mp-21464,352.3769286,152.0113635,398.7022341,0.311422466,Ceramics
mp-22759,326.1597972,199.1040951,496.319597,0.246382192,Ceramics
mp-4472,316.1835336,177.4231786,448.3981751,0.263640351,Ceramics
mp-7574,211.6877176,140.5794948,345.3015025,0.228136091,Metals
mp-9985,230.4488192,143.5836587,356.6743559,0.242043695,Metals
mp-3348,163.8935569,73.40346422,191.6054387,0.305152561,Metals
mp-20689,241.602469,171.0312687,415.1352261,0.21362377,Ceramics
mp-2091,258.0722161,200.1804085,477.1658654,0.191839573,Ceramics
mp-585,1.47E+12,4.19E+13,1.19E+13,-0.857602795,Unknown
mp-1077,286.0439122,178.9154013,444.1446634,0.241214172,Ceramics
mp-2850,314.2052693,183.2501707,460.2710562,0.255854372,Ceramics
mp-31017,145.2024633,90.9090344,225.6376745,0.241007981,Metals
mp-10136,252.6318649,189.9692328,455.6879014,0.199372905,Ceramics
mp-10853,184.9945916,123.5486106,303.1578554,0.22687683,Metals
mp-10854,200.4960605,129.4838154,319.6414568,0.234291158,Metals
mp-10856,207.1661112,131.3500861,325.299984,0.23829376,Metals
mp-10857,209.1849344,132.0021332,327.1851079,0.239317502,Metals
mp-19789,298.3891309,192.2728768,474.829969,0.234781465,Ceramics
mp-20908,182.8856335,132.4611856,320.1019545,0.208285858,Metals
mp-2958,203.5870609,130.4584323,322.4912487,0.23599235,Metals
mp-613327,326.4011704,185.4508531,467.7631375,0.261151215,Ceramics
mp-6916,194.5531657,125.4770108,309.8240531,0.23458493,Metals
mp-9880,183.5011194,140.4120026,335.629876,0.195160919,Metals
mp-12061,188.8821839,113.0470087,282.7349032,0.250519171,Metals
mp-12073,112.4171532,76.988823,188.040087,0.221216793,Metals
