Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
JVASP-60798,607.6,80.7,40.2,-0.0,-0.0,-0.0,80.7,540.6,79.8,-0.0,0.0,-0.0,40.2,79.8,450.6,0.0,-0.0,0.0,-0.0,-0.0,0.0,251.9,-0.0,0.0,-0.0,0.0,-0.0,-0.0,220.4,-0.0,-0.0,-0.0,0.0,0.0,-0.0,221.0
JVASP-828,443.9,111.3,45.6,0.0,-26.3,0.0,111.3,443.9,45.6,0.0,26.3,0.0,45.6,45.6,599.5,0.0,0.0,0.0,0.0,0.0,0.0,166.3,0.0,-26.3,-26.3,26.3,0.0,0.0,210.4,0.0,0.0,0.0,0.0,-26.3,0.0,210.4
JVASP-25290,460.7,21.0,-12.0,-0.2,-1.5,0.0,21.0,393.9,115.3,0.3,-0.7,-0.1,-12.0,115.3,342.0,0.6,-12.9,-0.0,-0.2,0.3,0.6,53.8,-0.1,2.1,-1.5,-0.7,-12.9,-0.1,116.6,0.1,0.0,-0.1,-0.0,2.1,0.1,87.0
JVASP-14615,93.4,58.2,58.2,-0.0,-0.0,-0.0,58.2,93.4,58.2,0.0,-0.0,-0.0,58.2,58.2,93.4,-0.0,0.0,0.0,-0.0,0.0,-0.0,16.2,0.0,0.0,-0.0,-0.0,0.0,0.0,16.2,-0.0,-0.0,-0.0,0.0,0.0,0.0,16.2
JVASP-25408,29.7,74.5,74.5,-0.0,0.0,0.0,74.5,29.7,74.5,-0.0,0.0,0.0,74.5,74.5,29.7,0.0,0.0,0.0,-0.0,-0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,38.1
JVASP-816,93.4,58.2,58.2,0.0,0.0,0.0,58.2,93.4,58.2,0.0,0.0,0.0,58.2,58.2,93.4,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,16.2
JVASP-14620,66.4,30.7,39.5,0.0,0.0,0.0,30.7,66.4,39.5,0.0,0.0,0.0,39.5,39.5,54.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
JVASP-14622,68.1,26.0,40.0,0.0,-0.0,0.0,26.0,100.6,22.6,-0.0,0.0,-0.0,40.0,22.6,76.1,0.0,-0.0,0.0,0.0,-0.0,0.0,23.8,-0.0,0.0,-0.0,0.0,0.0,-0.0,37.7,0.0,0.0,-0.0,0.0,0.0,0.0,31.5
JVASP-25097,78.1,29.1,30.1,0.0,-0.0,0.0,29.1,66.1,41.2,-0.0,0.0,0.0,30.1,41.2,61.2,-0.0,0.0,0.0,0.0,-0.0,-0.0,16.7,-0.0,0.0,-0.0,0.0,0.0,-0.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
JVASP-25143,66.4,30.7,39.5,0.0,-0.0,0.0,30.7,66.4,39.5,0.0,0.0,0.0,39.5,39.5,54.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
JVASP-885,68.1,26.0,40.0,0.0,0.0,0.0,26.0,100.6,22.6,0.0,0.0,0.0,40.0,22.6,76.1,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,37.7,0.0,0.0,0.0,0.0,0.0,0.0,31.5
JVASP-15845,78.1,29.1,30.1,-0.0,0.0,0.0,29.1,66.1,41.2,0.0,-0.0,0.0,30.1,41.2,61.2,0.0,-0.0,0.0,-0.0,0.0,0.0,16.7,-0.0,0.0,0.0,-0.0,-0.0,-0.0,28.9,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
JVASP-25237,2.2974224999999997,0.7658075,4.594844999999999,5.3606525,3.8290375,1.531615,3.06323,3.06323,3.8290375,0.0,0.0,0.7658075,4.594844999999999,1.531615,0.0,1.531615,4.594844999999999,3.06323,3.06323,4.594844999999999,3.06323,0.0,1.531615,0.0,4.594844999999999,2.2974224999999997,1.531615,1.531615,5.3606525,4.594844999999999,2.2974224999999997,3.06323,0.7658075,5.3606525,0.0,3.8290375
JVASP-14824,54.4,23.9,29.0,0.0,-0.0,0.0,23.9,54.4,29.0,0.0,0.0,0.0,29.0,29.0,47.5,0.0,-0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,-0.0,0.0,-0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,8.7
JVASP-898,45.7,30.7,30.7,0.0,-0.3,0.0,30.7,40.5,34.8,0.0,-0.1,0.0,30.7,34.8,39.0,0.0,0.2,0.0,0.0,0.0,0.0,13.4,0.0,-0.5,-0.3,-0.1,0.2,0.0,5.8,0.0,0.0,0.0,0.0,-0.5,0.0,6.7
JVASP-110793,26.3,37.8,37.8,0.0,-0.0,0.0,37.8,26.3,37.8,-0.0,0.0,0.0,37.8,37.8,26.3,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1
JVASP-14822,34.1,28.5,25.4,0.0,-0.0,0.0,28.5,34.1,25.4,-0.0,0.0,-0.0,25.4,25.4,49.1,0.0,0.0,0.0,0.0,-0.0,-0.0,2.8,0.0,0.0,-0.0,0.0,0.0,-0.0,8.4,-0.0,0.0,0.0,0.0,0.0,-0.0,8.4
JVASP-14696,30.6,31.0,31.0,0.0,0.0,-0.0,31.0,30.6,31.0,0.0,0.0,-0.0,31.0,31.0,30.6,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,-0.0,-0.0,0.0,0.0,0.0,14.7
JVASP-21200,30.6,31.0,31.0,-0.0,-0.0,-0.0,31.0,30.6,31.0,-0.0,-0.0,0.0,31.0,31.0,30.6,0.0,0.0,-0.0,-0.0,-0.0,0.0,14.7,0.0,0.0,-0.0,-0.0,0.0,0.0,14.7,0.0,-0.0,0.0,-0.0,0.0,0.0,14.7
JVASP-7806,46.7,17.4,29.0,0.0,0.0,0.0,17.4,46.7,29.0,-0.0,0.0,0.0,29.0,29.0,33.4,0.0,0.0,0.0,0.0,-0.0,0.0,-1.8,-0.0,-0.0,0.0,0.0,0.0,-0.0,10.5,-0.0,0.0,0.0,0.0,-0.0,-0.0,10.9
JVASP-25371,30.7,28.1,28.5,0.0,-3.1,0.0,28.1,30.7,28.5,-0.0,3.1,-0.0,28.5,28.5,41.4,0.0,-0.0,0.0,0.0,-0.0,0.0,1.3,0.0,-3.1,-3.1,3.1,-0.0,0.0,3.6,0.0,0.0,-0.0,0.0,-3.1,0.0,3.6
JVASP-25046,46.7,17.4,29.0,0.0,0.0,-0.0,17.4,46.7,29.0,0.0,0.0,0.0,29.0,29.0,33.4,0.0,-0.0,0.0,0.0,0.0,0.0,-1.8,0.0,0.0,0.0,0.0,-0.0,0.0,10.7,0.0,-0.0,0.0,0.0,0.0,0.0,10.7
JVASP-119951,48.4,32.7,7.2,0.0,0.0,-0.0,32.7,48.4,7.2,0.0,-0.0,-0.0,7.2,7.2,50.2,-0.0,0.0,0.0,0.0,-0.0,-0.0,7.9,0.0,-0.0,0.0,-0.0,0.0,0.0,-8.8,0.0,0.0,-0.0,0.0,0.0,0.0,-8.8
