Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,Bulk Modulus (K),Shear Modulus (G),Young Modulus (E),Poisson's Ratio (v)
JVASP-60798,607.6,80.7,40.2,0,0,0,80.7,540.6,79.8,0,0,0,40.2,79.8,450.6,0,0,0,0,0,0,251.9,0,0,0,0,0,0,220.4,0,0,0,0,0,0,221,222.2444444,231.8666667,516.1136286,0.112953483
JVASP-828,443.9,111.3,45.6,0,-26.3,0,111.3,443.9,45.6,0,26.3,0,45.6,45.6,599.5,0,0,0,0,0,0,166.3,0,-26.3,-26.3,26.3,0,0,210.4,0,0,0,0,-26.3,0,210.4,210.2555556,203.0733333,460.8506052,0.134690108
JVASP-25290,460.7,21,-12,-0.2,-1.5,0,21,393.9,115.3,0.3,-0.7,-0.1,-12,115.3,342,0.6,-12.9,0,-0.2,0.3,0.6,53.8,-0.1,2.1,-1.5,-0.7,-12.9,-0.1,116.6,0.1,0,-0.1,0,2.1,0.1,87,160.5777778,122.9666667,293.8836227,0.194972714
JVASP-14615,93.4,58.2,58.2,0,0,0,58.2,93.4,58.2,0,0,0,58.2,58.2,93.4,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,69.93333333,16.76,46.56048729,0.389036017
JVASP-25408,29.7,74.5,74.5,0,0,0,74.5,29.7,74.5,0,0,0,74.5,74.5,29.7,0,0,0,0,0,0,38.1,0,0,0,0,0,0,38.1,0,0,0,0,0,0,38.1,59.56666667,13.9,38.69049844,0.391744548
JVASP-816,93.4,58.2,58.2,0,0,0,58.2,93.4,58.2,0,0,0,58.2,58.2,93.4,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,69.93333333,16.76,46.56048729,0.389036017
JVASP-14620,66.4,30.7,39.5,0,0,0,30.7,66.4,39.5,0,0,0,39.5,39.5,54.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,45.18888889,6.453333333,18.48028916,0.431840586
JVASP-14622,68.1,26,40,0,0,0,26,100.6,22.6,0,0,0,40,22.6,76.1,0,0,0,0,0,0,23.8,0,0,0,0,0,0,37.7,0,0,0,0,0,0,31.5,46.88888889,29.01333333,72.15715857,0.243517209
JVASP-25097,78.1,29.1,30.1,0,0,0,29.1,66.1,41.2,0,0,0,30.1,41.2,61.2,0,0,0,0,0,0,16.7,0,0,0,0,0,0,28.9,0,0,0,0,0,0,-1,45.13333333,15.92,42.73528945,0.342188739
JVASP-25143,66.4,30.7,39.5,0,0,0,30.7,66.4,39.5,0,0,0,39.5,39.5,54.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,45.18888889,6.453333333,18.48028916,0.431840586
JVASP-885,68.1,26,40,0,0,0,26,100.6,22.6,0,0,0,40,22.6,76.1,0,0,0,0,0,0,23.8,0,0,0,0,0,0,37.7,0,0,0,0,0,0,31.5,46.88888889,29.01333333,72.15715857,0.243517209
JVASP-15845,78.1,29.1,30.1,0,0,0,29.1,66.1,41.2,0,0,0,30.1,41.2,61.2,0,0,0,0,0,0,16.7,0,0,0,0,0,0,28.9,0,0,0,0,0,0,-1,45.13333333,15.92,42.73528945,0.342188739
JVASP-25237,2.2974225,0.7658075,4.594845,5.3606525,3.8290375,1.531615,3.06323,3.06323,3.8290375,0,0,0.7658075,4.594845,1.531615,0,1.531615,4.594845,3.06323,3.06323,4.594845,3.06323,0,1.531615,0,4.594845,2.2974225,1.531615,1.531615,5.3606525,4.594845,2.2974225,3.06323,0.7658075,5.3606525,0,3.8290375,2.637781389,1.582668833,3.956672083,0.25
JVASP-14824,54.4,23.9,29,0,0,0,23.9,54.4,29,0,0,0,29,29,47.5,0,0,0,0,0,0,6.6,0,0,0,0,0,0,8.7,0,0,0,0,0,0,8.7,35.56666667,9.76,26.82617208,0.374291602
JVASP-898,45.7,30.7,30.7,0,-0.3,0,30.7,40.5,34.8,0,-0.1,0,30.7,34.8,39,0,0.2,0,0,0,0,13.4,0,-0.5,-0.3,-0.1,0.2,0,5.8,0,0,0,0,-0.5,0,6.7,35.28888889,7.113333333,19.99641234,0.405558506
JVASP-110793,26.3,37.8,37.8,0,0,0,37.8,26.3,37.8,0,0,0,37.8,37.8,26.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,33.96666667,-2.24,-6.871041541,0.53371463
JVASP-14822,34.1,28.5,25.4,0,0,0,28.5,34.1,25.4,0,0,0,25.4,25.4,49.1,0,0,0,0,0,0,2.8,0,0,0,0,0,0,8.4,0,0,0,0,0,0,8.4,30.65555556,6.453333333,18.0905778,0.401646007
JVASP-14696,30.6,31,31,0,0,0,31,30.6,31,0,0,0,31,31,30.6,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,30.86666667,8.74,23.95867377,0.370633511
JVASP-21200,30.6,31,31,0,0,0,31,30.6,31,0,0,0,31,31,30.6,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,30.86666667,8.74,23.95867377,0.370633511
JVASP-7806,46.7,17.4,29,0,0,0,17.4,46.7,29,0,0,0,29,29,33.4,0,0,0,0,0,0,-1.8,0,0,0,0,0,0,10.5,0,0,0,0,0,0,10.9,30.84444444,7.346666667,20.41884929,0.389667601
JVASP-25371,30.7,28.1,28.5,0,-3.1,0,28.1,30.7,28.5,0,3.1,0,28.5,28.5,41.4,0,0,0,0,0,0,1.3,0,-3.1,-3.1,3.1,0,0,3.6,0,0,0,0,-3.1,0,3.6,30.33333333,2.88,8.374946741,0.453983809
JVASP-25046,46.7,17.4,29,0,0,0,17.4,46.7,29,0,0,0,29,29,33.4,0,0,0,0,0,0,-1.8,0,0,0,0,0,0,10.7,0,0,0,0,0,0,10.7,30.84444444,7.346666667,20.41884929,0.389667601
JVASP-119951,48.4,32.7,7.2,0,0,0,32.7,48.4,7.2,0,0,0,7.2,7.2,50.2,0,0,0,0,0,0,7.9,0,0,0,0,0,0,-8.8,0,0,0,0,0,0,-8.8,26.8,4.72,13.37481203,0.416823308
JVASP-961,49.3,39.2,39.2,0,0,0,39.2,49.3,39.2,0,0,0,39.2,39.2,49.3,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,16,42.56666667,11.62,31.95249785,0.374892334
JVASP-17723,49.3,39.2,39.2,0,0,0,39.2,49.3,39.2,0,0,0,39.2,39.2,49.3,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,16,42.56666667,11.62,31.95249785,0.374892334
JVASP-25166,26.8,49.1,49.1,0,0,0,49.1,26.8,49.1,0,0,0,49.1,49.1,26.8,0,0,0,0,0,0,18.5,0,0,0,0,0,0,18.5,0,0,0,0,0,0,18.5,41.66666667,6.64,18.91522334,0.424339107
JVASP-111128,32.4,24.6,24.6,0,0,0,24.6,32.4,24.6,0,0,0,24.6,24.6,32.4,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,27.2,6.96,19.23902439,0.382113821
JVASP-14823,68,42.7,30.4,0,0,0,42.7,67.9,30.4,0,0,0,30.4,30.4,78.8,0,0,0,0,0,0,21.6,0,0,0,0,0,0,21,0,0,0,0,0,0,20.9,46.85555556,20.11333333,52.78686001,0.312235499
JVASP-14601,54.1,27.7,27.7,0,0,0,27.7,54.1,27.7,0,0,0,27.7,27.7,54.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,36.5,19.74,50.17479109,0.270891365
JVASP-15762,33.4,52,52,0,0,0,52,33.4,52,0,0,0,52,52,33.4,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,45.8,4.5,13.07188161,0.45243129
JVASP-78329,51.9,33.2,46.1,0,0,0,33.2,51.9,46.1,0,0,0,46.1,46.1,62.4,0,0,0,0,0,0,11.7,0,0,0,0,0,0,13.5,0,0,0,0,0,0,13.5,46.33333333,10.46,29.1838619,0.395022079
JVASP-25069,53.4,43.4,43.4,0,0,0,43.4,53.4,43.4,0,0,0,43.4,43.4,53.4,0,0,0,0,0,0,14.2,0,0,0,0,0,0,14.2,0,0,0,0,0,0,14.2,46.73333333,10.52,29.35716561,0.395302548
JVASP-1008,54.1,27.7,27.7,0,0,0,27.7,54.1,27.7,0,0,0,27.7,27.7,54.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,36.5,19.74,50.17479109,0.270891365
JVASP-25322,33.4,52,52,0,0,0,52,33.4,52,0,0,0,52,52,33.4,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,45.8,4.5,13.07188161,0.45243129
JVASP-14782,48.1,43,41.8,0,0,0,43,48.1,41.8,0,0,0,41.8,41.8,66.9,0,0,0,0,0,0,27.8,0,0,0,0,0,0,7.3,0,0,0,0,0,0,7.3,46.25555556,10.91333333,30.35289061,0.390633351
JVASP-25202,48.1,43,41.8,0,0,0,43,48.1,41.8,0,0,0,41.8,41.8,66.9,0,0,0,0,0,0,27.8,0,0,0,0,0,0,7.3,0,0,0,0,0,0,7.3,46.25555556,10.91333333,30.35289061,0.390633351
JVASP-14658,100.6,36.8,36.8,0,0,0,36.8,100.6,36.8,0,0,0,36.8,36.8,100.6,0,0,0,0,0,0,52,0,0,0,0,0,0,52,0,0,0,0,0,0,52,58.06666667,43.96,105.3057206,0.197744774
JVASP-14819,123.4,44.5,32.5,0,0,0,44.5,123.4,32.5,0,0,0,32.5,32.5,116.3,0,0,0,0,0,0,48.9,0,0,0,0,0,0,39.4,0,0,0,0,0,0,39.4,64.67777778,42.44666667,104.4832741,0.230759472
JVASP-99584,95.6,85.3,15.3,0,0,0,85.3,82.2,15.2,0,0,0,15.3,15.2,156.2,0,0,0,0,0,0,9.8,0,0,0,0,0,0,39.1,0,0,0,0,0,0,38.7,62.84444444,32.06666667,82.21625869,0.281958296
JVASP-9092,133.9,16.6,25.3,0,0,0,16.6,133.9,25.3,0,0,0,25.3,25.3,76,0,0,0,0,0,0,34.1,0,0,0,0,0,0,44.2,0,0,0,0,0,0,44.2,53.13333333,42.94,101.4821983,0.181674409
JVASP-25100,122.5,32,19.8,0,0,0,32,122.5,19.8,0,0,0,19.8,19.8,141.2,0,0,0,0,0,0,45.2,0,0,0,0,0,0,35.3,0,0,0,0,0,0,35.3,58.82222222,44.13333333,105.9119976,0.199909338
JVASP-25108,76.8,58.9,46.3,0,0,0,58.9,76.8,46.3,0,0,0,46.3,46.3,81.7,0,0,0,0,0,0,8.9,0,0,0,0,0,0,10.5,0,0,0,0,0,0,10.5,59.81111111,11.56666667,32.59862129,0.409162304
JVASP-25048,133.8,16.2,25.6,0,0,0,16.2,133.8,25.6,0,0,0,25.6,25.6,76.2,0,0,0,0,0,0,34.2,0,0,0,0,0,0,44.3,0,0,0,0,0,0,44.3,53.17777778,42.98666667,101.5870959,0.181611693
JVASP-25334,123.3,44.4,32.5,0,0,0,44.4,123.5,32.6,0,0,0,32.5,32.6,116.3,0,0,0,0,0,0,48.9,0,0,0,0,0,0,39.6,0,0,0,0,0,0,39.3,64.67777778,42.46666667,104.5236646,0.230655391
JVASP-890,100.6,36.8,36.8,0,0,0,36.8,100.6,36.8,0,0,0,36.8,36.8,100.6,0,0,0,0,0,0,52,0,0,0,0,0,0,52,0,0,0,0,0,0,52,58.06666667,43.96,105.3057206,0.197744774
JVASP-25088,60.4,58.3,58.3,0,0,0,58.3,60.4,58.3,0,0,0,58.3,58.3,60.4,0,0,0,0,0,0,14.4,0,0,0,0,0,0,14.4,0,0,0,0,0,0,14.4,59,9.06,25.8564979,0.426959045
JVASP-25413,33.6,73.4,73.4,0,0,0,73.4,33.6,73.4,0,0,0,73.4,73.4,33.6,0,0,0,0,0,0,8.4,0,0,0,0,0,0,8.4,0,0,0,0,0,0,8.4,60.13333333,-2.92,-8.904124408,0.524678837
